#OTU ID	co14-2	conps2g-9	co14-5	co12g-7	co16-6	co12g-1	co14c6	co14-4	co14-6	co12g-3	co12-2	conps1g-3	conps2g-8	co12-10	co12-3	co12-6	co12-5	co12-1	co12-4	co14-11	co16-10	co16-2	conps2g-7	co14-12	co12g-8	conps2g-3	co16-3	co16-1	conps2g-1	conps2g-2	conps1g-8	co12-12	co12-11	conps1g-2	co16-5	conps1g-9	conps1g-1	co14c11	PC-fungal	co16-12	co16-4	co16-11	conps1g-7	co14-3	co14c4	co14c5	co14-10	co14-1	co12g-2	co14c12	co14c10	co12g-9	NC-fungal	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Confidence Ranking	Growth Morphology	Trait	Notes	Citation/Source
denovo147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2040.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Fungi(1.0000);p__Basidiomycota(1.0000);c__Agaricomycetes(1.0000);o__Thelephorales(1.0000);f__Thelephoraceae(1.0000);g__Tomentella(0.4800);s__Tomentella_muricata_SH184566.07FU(0.0300)	Tomentella	13	Symbiotroph	Ectomycorrhizal	Highly Probable	Corticioid	NULL	NULL	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html
denovo594	1180.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	9.0	1.0	0.0	0.0	0.0	0.0	273.0	1.0	3.0	7.0	37.0	0.0	0.0	0.0	0.0	0.0	68.0	35.0	0.0	0.0	227.0	0.0	0.0	0.0	7.0	0.0	24.0	0.0	0.0	68.0	11.0	0.0	0.0	72.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	6.0	0.0	0.0	0.0	d__Plantae(1.0000);p__Angiosperms(1.0000);c__Monocots(1.0000);o__Asparagales(1.0000);f__Orchidaceae(1.0000);g__Piperia(0.7800);s__elegans(0.7600)	-	-	-	-	-	-	-	Unassigned	-
denovo1151	4.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	1.0	2.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	319.0	0.0	0.0	0.0	0.0	0.0	0.0	175.0	0.0	18.0	477.0	0.0	0.0	0.0	0.0	590.0	0.0	0.0	0.0	0.0	0.0	0.0	409.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Fungi(0.9900);p__Basidiomycota(0.3300);c__Agaricomycetes(0.2400);o__Mortierellales(0.1100);f__Paraglomeraceae(0.0400);g__Inocybe(0.0300);s__Inocybe_erubescens_SH221219.07FU(0.0200)	Inocybe	13	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	Sensu stricto (Matheny 2009).	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Matheny PB. 2009. McIlvainea 18:11-21; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html
denovo1033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1395.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	514.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	d__Fungi(1.0000);p__Basidiomycota(1.0000);c__Agaricomycetes(1.0000);o__Agaricales(1.0000);f__Nidulariaceae(0.9900);g__Cyathus(0.9900);s__Cyathus_olla_SH202151.07FU(0.5700)	Cyathus	13	Saprotroph	Undefined Saprotroph	Probable	Gasteroid	NULL	Common name - birds nest fungus	Tedersoo L, et al. 2014. Science 346:1256688
denovo1309	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1869.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	d__Fungi(1.0000);p__Basidiomycota(1.0000);c__Agaricomycetes(1.0000);o__Cantharellales(1.0000);f__Ceratobasidiaceae(1.0000);g__Ceratobasidium(0.1900);s__Ceratobasidium_sp(0.0800)	Ceratobasidium	13	Symbiotroph	Ectomycorrhizal	Possible	Corticioid	NULL	NULL	Tedersoo L, et al. 2014. Science 346:1256688
denovo1807	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1656.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	188.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Fungi(1.0000);p__Basidiomycota(1.0000);c__Agaricomycetes(1.0000);o__Agaricales(1.0000);f__Strophariaceae(0.9800);g__Stropharia(0.9600);s__Stropharia_ambigua_SH002285.07FU(0.7500)	Stropharia	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:1256688
denovo1665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1263.0	0.0	0.0	0.0	0.0	1.0	517.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	40.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Fungi(1.0000);p__Basidiomycota(1.0000);c__Agaricomycetes(1.0000);o__Boletales(1.0000);f__Rhizopogonaceae(0.9700);g__Rhizopogon(0.9700);s__Rhizopogon_pseudoroseolus_SH221091.07FU(0.0200)	Rhizopogon	13	Symbiotroph	Ectomycorrhizal	Highly Probable	Gasteroid	Hypogeous	Common name - false truffle	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html
denovo108	27.0	326.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	598.0	0.0	0.0	85.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	648.0	25.0	0.0	0.0	0.0	0.0	0.0	d__Fungi(1.0000);p__Basidiomycota(0.7800);c__Agaricomycetes(0.7800);o__Geastrales(0.7700);f__Geastraceae(0.7400);g__Nidulariopsis(0.7400);s__Nidulariopsis_iowensis_SH214353.07FU(0.7400)	Nidulariopsis	13	Saprotroph	Undefined Saprotroph	Probable	Gasteroid	NULL	Common name - birds nest fungus	Tedersoo L, et al. 2014. Science 346:1256688
denovo701	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1792.0	0.0	0.0	0.0	d__Fungi(1.0000);p__Basidiomycota(0.9800);c__Agaricomycetes(0.9800);o__Agaricales(0.9800);f__Psathyrellaceae(0.9800);g__Psathyrella(0.9800);s__Psathyrella_candolleana_SH220347.07FU(0.7300)	Psathyrella	13	Saprotroph	Wood Saprotroph	Probable	Agaricoid	NULL	NULL	Tedersoo L, et al. 2014. Science 346:1256688
denovo1848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	336.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	874.0	0.0	522.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Fungi(1.0000);p__Basidiomycota(1.0000);c__Geminibasidiomycetes(1.0000);o__Geminibasidiales(1.0000);f__Geminibasidiaceae(1.0000);g__Geminibasidium(1.0000)	-	-	-	-	-	-	-	Unassigned	-
denovo3175	0.0	0.0	0.0	399.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	3.0	0.0	0.0	3.0	14.0	0.0	0.0	270.0	0.0	0.0	0.0	6.0	0.0	3.0	777.0	1.0	43.0	3.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	155.0	0.0	d__Fungi(0.9700);p__Basidiomycota(0.4300);c__Agaricomycetes(0.3400);o__Agaricales(0.1100);f__Russulaceae(0.0600);g__Hygrocybe(0.0500);s__Athelia_pyriformis_SH018748.07FU(0.0400)	Athelia	13	Pathotroph-Saprotroph-Symbiotroph	Epiphyte-Leaf Saprotroph-Lichen Parasite-Lichenized-Plant Pathogen-Wood Saprotroph	Possible	Corticioid-Thallus	NULL	Lichenized and non-lichenized taxa	Adams GC, Kropp BR. 1996. Mycologia 88:459-472; Carisse O, et al. 2000. Biological Control 90:31-37; Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)
denovo2849	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	60.0	0.0	0.0	0.0	1.0	0.0	0.0	1575.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Fungi(1.0000);p__Rozellomycota(0.5900)	-	-	-	-	-	-	-	Unassigned	-
denovo2523	1.0	0.0	103.0	12.0	2.0	22.0	0.0	19.0	4.0	13.0	545.0	10.0	0.0	27.0	5.0	0.0	265.0	33.0	68.0	13.0	13.0	50.0	0.0	0.0	5.0	2.0	1.0	209.0	6.0	82.0	27.0	1.0	32.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	6.0	0.0	17.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	3.0	0.0	d__Fungi(0.6200);p__Chlorophyta(0.3400);c__Trebouxiophyceae(0.3400);o__Trebouxiales(0.3400);f__Trebouxiaceae(0.3400);g__Trebouxia(0.3400);s__Trebouxia_decolorans_SH640078.07FU(0.1900)	-	-	-	-	-	-	-	Unassigned	-
denovo571	20.0	4.0	83.0	0.0	0.0	447.0	11.0	48.0	79.0	167.0	23.0	74.0	3.0	3.0	1.0	1.0	27.0	0.0	11.0	142.0	0.0	14.0	0.0	0.0	0.0	17.0	0.0	4.0	60.0	102.0	0.0	0.0	24.0	41.0	0.0	5.0	45.0	0.0	0.0	3.0	0.0	1.0	10.0	45.0	2.0	0.0	0.0	7.0	0.0	0.0	0.0	13.0	0.0	d__Fungi(0.5100);p__Cercozoa(0.4900)	-	-	-	-	-	-	-	Unassigned	-
denovo673	12.0	0.0	71.0	2.0	0.0	2.0	11.0	30.0	1.0	2.0	400.0	5.0	0.0	27.0	5.0	0.0	259.0	181.0	10.0	37.0	21.0	88.0	1.0	0.0	15.0	3.0	1.0	245.0	6.0	32.0	2.0	2.0	32.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	5.0	12.0	0.0	0.0	10.0	1.0	0.0	0.0	0.0	0.0	d__Fungi(0.7900);p__Basidiomycota(0.4400);c__Agaricomycetes(0.4100);o__Trebouxiales(0.2100);f__Trebouxiaceae(0.2100);g__Trebouxia(0.2100);s__Trebouxia_decolorans_SH640078.07FU(0.1500)	-	-	-	-	-	-	-	Unassigned	-
denovo2971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	281.0	0.0	0.0	85.0	1118.0	0.0	16.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Fungi(0.9600);p__Basidiomycota(0.6600);c__Agaricomycetes(0.5700);o__Thelephorales(0.2000);f__Thelephoraceae(0.2000);g__Tomentella(0.0500);s__Polyporus_leprieurii_SH017765.07FU(0.0200)	Polyporus	13	Saprotroph	Wood Saprotroph	Highly Probable	Polyporoid	White Rot	NULL	Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo
denovo2641	6.0	0.0	67.0	0.0	0.0	90.0	621.0	17.0	14.0	108.0	12.0	148.0	1.0	0.0	5.0	0.0	2.0	12.0	32.0	49.0	0.0	21.0	1.0	1.0	0.0	5.0	0.0	31.0	13.0	65.0	5.0	0.0	4.0	78.0	0.0	10.0	39.0	3.0	0.0	1.0	0.0	0.0	25.0	11.0	5.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	d__Rhizaria(0.8600);p__Cercozoa(0.8600)	-	-	-	-	-	-	-	Unassigned	-
denovo214	823.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	205.0	0.0	4.0	8.0	11.0	0.0	2.0	0.0	1.0	0.0	46.0	61.0	0.0	0.0	150.0	0.0	0.0	0.0	8.0	0.0	13.0	0.0	0.0	80.0	23.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	d__Plantae(1.0000);p__Angiosperms(1.0000);c__Monocots(1.0000);o__Asparagales(1.0000);f__Orchidaceae(1.0000);g__Piperia(0.9700);s__elegans(0.8800)	-	-	-	-	-	-	-	Unassigned	-
denovo1016	5.0	1.0	1.0	0.0	0.0	2.0	3.0	0.0	1.0	2.0	0.0	397.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	11.0	4.0	0.0	0.0	780.0	0.0	78.0	120.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Rhizaria(0.8400);p__Cercozoa(0.8400)	-	-	-	-	-	-	-	Unassigned	-
denovo494	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	8.0	1212.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	168.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	d__Fungi(1.0000);p__Monoblepharomycota(0.7500);c__Monoblepharidomycetes(0.7500);o__Monoblepharidales(0.1200);f__Monoblepharidaceae(0.0700);g__Harpochytrium(0.0600);s__Helvellosebacina_helvelloides_SH214500.07FU(0.0100)	-	-	-	-	-	-	-	Unassigned	-
denovo2372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1394.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Fungi(1.0000);p__Basidiomycota(0.8200);c__Agaricomycetes(0.8200);o__Cantharellales(0.8200);f__Ceratobasidiaceae(0.8200);g__Waitea(0.3400);s__Waitea_circinata_var._circinata_SH015963.07FU(0.3200)	Waitea	13	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)
denovo1798	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	177.0	0.0	0.0	3.0	268.0	264.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	1.0	520.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Fungi(0.9200);p__Basidiomycota(0.5600);c__Agaricomycetes(0.4900);o__Agaricales(0.2500);f__Inocybaceae(0.0800);g__Inocybe(0.0800);s__Marchandiobasidium_aurantiacum_SH188022.07FU(0.0400)	Marchandiobasidium	13	Pathotroph-Symbiotroph	Lichen Parasite-Lichenized	Highly Probable	NULL	NULL	NULL	Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm); Tedersoo L, et al. 2014. Science 346:1256688
denovo128	0.0	0.0	0.0	0.0	0.0	0.0	982.0	0.0	0.0	39.0	0.0	129.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0	42.0	0.0	3.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	84.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	d__Rhizaria(0.9100);p__Cercozoa(0.9100)	-	-	-	-	-	-	-	Unassigned	-
denovo1868	762.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	139.0	1.0	5.0	11.0	27.0	0.0	0.0	0.0	0.0	0.0	28.0	39.0	0.0	0.0	168.0	0.0	0.0	0.0	4.0	0.0	8.0	0.0	0.0	42.0	3.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	d__Plantae(1.0000);p__Angiosperms(1.0000);c__Monocots(1.0000);o__Asparagales(1.0000);f__Orchidaceae(1.0000);g__Piperia(0.8600);s__elegans(0.7800)	-	-	-	-	-	-	-	Unassigned	-
denovo1604	0.0	0.0	0.0	0.0	1238.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Fungi(1.0000);p__Basidiomycota(1.0000);c__Geminibasidiomycetes(1.0000);o__Geminibasidiales(1.0000);f__Geminibasidiaceae(1.0000);g__Geminibasidium(1.0000);s__Geminibasidium_donsium_SH208304.07FU(0.0500)	Geminibasidium	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:1256688
